Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
10000,prompt_2,p11_find_middle_element_linkedlist,0.0100038,0.011988829,0.0238684,0.01173837,2.133676464
100000,prompt_2,p11_find_middle_element_linkedlist,0.1057594,0.130573336,0.2363669,0.127727444,2.228097032
1000,prompt_3,p11_find_middle_element_linkedlist,0.0009171,0.00114614,0.0027976,0.00114614,0
10000,prompt_3,p11_find_middle_element_linkedlist,0.0099565,0.01173837,0.0157975,0.01173837,0
100000,prompt_3,p11_find_middle_element_linkedlist,0.108825,0.127727444,0.1647144,0.127727444,0
1000,prompt_4,p11_find_middle_element_linkedlist,0.0009036,0.001157688,0.0024098,0.00114614,1.007556619
10000,prompt_4,p11_find_middle_element_linkedlist,0.0100888,0.011819578,0.0218064,0.01173837,0.691816237
100000,prompt_4,p11_find_middle_element_linkedlist,0.1079692,0.128168262,0.2345858,0.127727444,0.345123673
1000,prompt_5,p11_find_middle_element_linkedlist,0.0009296,0.010211665,0.8465539,0.00114614,790.961396
10000,prompt_5,p11_find_middle_element_linkedlist,0.0100458,0.012705164,0.0282816,0.01173837,8.236186212
100000,prompt_5,p11_find_middle_element_linkedlist,0.1083363,0.136921654,0.2859491,0.127727444,7.198304153
1000,prompt_6,p11_find_middle_element_linkedlist,0.0009126,0.001183962,0.0038212,0.00114614,3.299929209
10000,prompt_6,p11_find_middle_element_linkedlist,0.009974,0.012120737,0.0398042,0.01173837,3.257409636
100000,prompt_6,p11_find_middle_element_linkedlist,0.1068903,0.130917263,0.4070324,0.127727444,2.497363746
1000,prompt_7,p11_find_middle_element_linkedlist,0.0009002,0.001156159,0.0028095,0.00114614,0.874174002
10000,prompt_7,p11_find_middle_element_linkedlist,0.0099928,0.011789693,0.0211826,0.01173837,0.437225445
100000,prompt_7,p11_find_middle_element_linkedlist,0.1069135,0.128473818,0.2828084,0.127727444,0.584348402
1000,prompt_1,12,0.0024978,0.003299024,0.0080234,0.00318676,3.522804394
10000,prompt_1,12,0.0281446,0.035546377,0.0556421,0.034230722,3.843490679
100000,prompt_1,12,0.2958102,0.375795059,0.5625513,0.362975592,3.531771247
1000,prompt_2,12,0.0026361,0.003203512,0.0058443,0.00318676,0.525657986
10000,prompt_2,12,0.0278271,0.034338012,0.0589043,0.034230722,0.313431829
100000,prompt_2,12,0.296541,0.364589558,0.6044873,0.362975592,0.444648724
1000,prompt_3,12,0.0025888,0.003267482,0.0078922,0.00318676,2.533031058
10000,prompt_3,12,0.0282681,0.034719679,0.0662527,0.034230722,1.428416057
100000,prompt_3,12,0.3042729,0.367733119,0.6978979,0.362975592,1.310701682
1000,prompt_4,12,0.0025155,0.003226172,0.0063364,0.00318676,1.236735089
10000,prompt_4,12,0.0280309,0.034230722,0.052617,0.034230722,0
100000,prompt_4,12,0.2944244,0.362975592,0.5647581,0.362975592,0
1000,prompt_5,12,1.03E-05,0.003268919,0.0117652,0.00318676,2.578111518
10000,prompt_5,12,1.03E-05,0.034750944,0.0822898,0.034230722,1.519751459
100000,prompt_5,12,1.04E-05,0.376415776,1.2517143,0.362975592,3.702779022
1000,prompt_6,12,0.0026969,0.00318676,0.0086743,0.00318676,0
10000,prompt_6,12,0.0301453,0.034267186,0.0530425,0.034230722,0.106524364
100000,prompt_6,12,0.3266835,0.365771434,0.5562843,0.362975592,0.770256347
1000,prompt_7,12,0.0001488,0.003294145,0.0066713,0.00318676,3.369699077
10000,prompt_7,12,7.11E-05,0.035210496,0.0621767,0.034230722,2.862264281
100000,prompt_7,12,7.95E-05,0.376180942,0.6518879,0.362975592,3.63808213
1000,prompt_1,p13_revere_linkedlist,7.70E-06,1.07E-05,7.08E-05,9.95E-06,8.078425812
10000,prompt_1,p13_revere_linkedlist,7.50E-06,1.48E-05,0.0006086,1.39E-05,6.560000347
100000,prompt_1,p13_revere_linkedlist,7.40E-06,6.54E-05,0.0078099,6.23E-05,4.931839893
1000,prompt_2,p13_revere_linkedlist,7.40E-06,1.04E-05,8.08E-05,9.95E-06,4.143872043
10000,prompt_2,p13_revere_linkedlist,7.50E-06,1.44E-05,0.0005806,1.39E-05,3.70933305
100000,prompt_2,p13_revere_linkedlist,7.40E-06,6.40E-05,0.006779,6.23E-05,2.775399983
1000,prompt_3,p13_revere_linkedlist,7.20E-06,1.05E-05,0.0002958,9.95E-06,5.723811756
10000,prompt_3,p13_revere_linkedlist,7.40E-06,1.45E-05,0.0007295,1.39E-05,4.863111486
100000,prompt_3,p13_revere_linkedlist,7.20E-06,6.55E-05,0.0083668,6.23E-05,5.196097011
1000,prompt_4,p13_revere_linkedlist,7.40E-06,1.05E-05,7.32E-05,9.95E-06,6.032107738
10000,prompt_4,p13_revere_linkedlist,7.20E-06,1.45E-05,0.0005742,1.39E-05,4.573523089
100000,prompt_4,p13_revere_linkedlist,7.30E-06,6.49E-05,0.0069178,6.23E-05,4.182310721
1000,prompt_5,p13_revere_linkedlist,7.40E-06,0.000163653,0.0115399,9.95E-06,1545.394035
10000,prompt_5,p13_revere_linkedlist,7.20E-06,0.001588332,0.1085674,1.39E-05,11354.73696
100000,prompt_5,p13_revere_linkedlist,7.40E-06,0.018679714,1.3266412,6.23E-05,29890.74146
1000,prompt_6,p13_revere_linkedlist,6.60E-06,9.95E-06,0.0001674,9.95E-06,0
10000,prompt_6,p13_revere_linkedlist,6.80E-06,1.39E-05,0.0005797,1.39E-05,0
100000,prompt_6,p13_revere_linkedlist,6.40E-06,6.23E-05,0.0069652,6.23E-05,0
1000,prompt_7,p13_revere_linkedlist,7.30E-06,1.05E-05,7.30E-05,9.95E-06,5.308866956
10000,prompt_7,p13_revere_linkedlist,7.20E-06,1.45E-05,0.0005677,1.39E-05,4.734069777
100000,prompt_7,p13_revere_linkedlist,7.10E-06,6.40E-05,0.0067765,6.23E-05,2.7455366
1000,prompt_1,p14_find_length_linkedList,0.0014535,0.001755425,0.0030604,0.00168499,4.180149304
10000,prompt_1,p14_find_length_linkedList,0.0151842,0.018353575,0.0340135,0.017597918,4.294012093
100000,prompt_1,p14_find_length_linkedList,0.1601177,0.191447784,0.383114,0.183816976,4.151307316
1000,prompt_2,p14_find_length_linkedList,0.001406,0.001697733,0.0050698,0.00168499,0.756273553
10000,prompt_2,p14_find_length_linkedList,0.0146126,0.017669341,0.0366211,0.017597918,0.405860459
100000,prompt_2,p14_find_length_linkedList,0.1578767,0.184398201,0.387071,0.183816976,0.31619737
1000,prompt_3,p14_find_length_linkedList,0.0014639,0.00168499,0.0051316,0.00168499,0
10000,prompt_3,p14_find_length_linkedList,0.015159,0.017597918,0.028699,0.017597918,0
